fTagOrder	excerpt	duration	kind	text
80	WR2015_S39_F02	2:47	Question	How should householders deal with sensual pleasure?
85	SRD2023_S00_F05	6:59	Question	Is physical sexual desire the same as the desire for food and water...
90	TG2011_S03_F14	1:21	Question	I remember reading that Ajahn Chah used to ask monastics to meditat...
100	SRD2011_S03_F04	4:48	Story	Ajahn Chah struggles through lust with patience.
140	WR2025_S56_F05	8:01	Question	Could you repeat the five types of stinginess (AN 5.260)?

5 featured excerpts; 3-5 optimal.

Subtopic tags:
Sensual desire
Greed
