fTagOrder	excerpt	duration	kind	text
70	SRD2024_S03_F10	1:17	Indirect quote	Samādhi is the one-pointed mind fixed on the point of balance.|Ajah...
80	SRD2011_S03_F11	1:28	Reflection	In Thai, samādhi is translated as "the firm establishing of the mind."
100	UD2015-4_S01_F01	4:25	Question	Could you clarify the difference between mindfulness and concentrat...
120	SRD2013_S03_F08	7:42	Question	I appreciate your emphasis on clarity, stability, and spaciousness....
140	TG2016_S08_F13	2:54	Question	I sometimes experience states in which the body is very relaxed and...

5 featured excerpts; 3-5 optimal.

Subtopic tags:
Concentration
