fTagOrder	excerpt	duration	kind	text
80	TG2010_S06_F09	2:07	Question	Could you explain the Saṅgha described in the chants (Chanting Book...
100	TG2014_S03_F14	5:30	Question	You mentioned 'inner confidence. …' can you describe it in more det...
150	Chah2001_S34_F08	4:28	Reflection	Ajahn Chah's time of illness was a gift to the Saṅgha.
180	WR2018-2_S06_F03	11:36	Question	What is the value of living in community?
200	WR2018-2_S06_F06	2:51	Comment	It's important for the Saṅgha to look after all members in terms of...

5 featured excerpts; 3-5 optimal.

Subtopic tags:
Saṅgha
Recollection/Saṅgha
